year,Trade _services (%) ,"Communications, computer, etc. (% of service imports, BoP)","Imports of goods and services (BoP, current US$)","Primary income payments (BoP, current US$)","Insurance and financial services (% of service imports, BoP)","Goods imports (BoP, current US$)","Service imports (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Imports of goods, services and primary income (BoP, current US$)","Transport services (% of service imports, BoP)","Foreign direct investment, net outflows (BoP, current US$)","Travel services (% of service imports, BoP)","Secondary income, other sectors, payments (BoP, current US$)","Personal remittances, paid (current US$)","Current account balance (BoP, current US$)",Current account balance (% of GDP),"Net financial account (BoP, current US$)","Net primary income (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Net trade in goods (BoP, current US$)","Net errors and omissions (BoP, current US$)","Foreign direct investment, net (BoP, current US$)","Portfolio investment, net (BoP, current US$)","Reserves and related items (BoP, current US$)","Net secondary income (BoP, current US$)","Net capital account (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Technical cooperation grants (BoP, current US$)","ICT service exports (% of service exports, BoP)","ICT service exports (BoP, current US$)","Communications, computer, etc. (% of service exports, BoP)","Primary income receipts (BoP, current US$)","Exports of goods and services (BoP, current US$)",,"Insurance and financial services (% of service exports, BoP)","Goods exports (BoP, current US$)","Service exports (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)","Exports of goods, services and primary income (BoP, current US$)","Transport services (% of service exports, BoP)","Travel services (% of service exports, BoP)","Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (% of GDP)","Portfolio equity, net inflows (BoP, current US$)","Secondary income receipts (BoP, current US$)","Personal remittances, received (current US$)","Personal remittances, received (% of GDP)",Net official development assistance received (current US$),Net ODA received (% of GNI),Net ODA received per capita (current US$),"Total reserves (includes gold, current US$)",Total reserves minus gold (current US$),"Inflation, consumer prices (annual %)","Central government debt, total (% of GDP)","Revenue, excluding grants (% of GDP)",Expense (% of GDP),"Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added (current LCU)","Agriculture, forestry, and fishing, value added (constant 2015 US$)","Agriculture, forestry, and fishing, value added (annual % growth)","Agriculture, forestry, and fishing, value added (constant LCU)","Agriculture, forestry, and fishing, value added (% of GDP)",Financial intermediary services indirectly Measured (FISIM) (current LCU),Financial intermediary services indirectly Measured (FISIM) (constant LCU),"Manufacturing, value added (current US$)","Manufacturing, value added (constant 2015 US$)","Manufacturing, value added (annual % growth)","Manufacturing, value added (constant LCU)","Manufacturing, value added (% of GDP)","Industry (including construction), value added (current US$)","Industry (including construction), value added (current LCU)","Industry (including construction), value added (constant 2015 US$)","Industry (including construction), value added (annual % growth)","Industry (including construction), value added (% of GDP)","Services, value added (current US$)","Services, value added (current LCU)","Services, value added (constant 2015 US$)","Services, value added (annual % growth)","Services, value added (constant LCU)","Services, value added (% of GDP)",Adjusted savings: education expenditure (current US$),Adjusted savings: education expenditure (% of GNI),Adjusted savings: carbon dioxide damage (current US$),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: consumption of fixed capital (current US$),Adjusted savings: consumption of fixed capital (% of GNI),"Inflation, GDP deflator (annual %)",GDP deflator (base year varies by country),Gross value added at basic prices (GVA) (current US$),Gross value added at basic prices (GVA) (current LCU),Gross value added at basic prices (GVA) (constant 2015 US$),Gross value added at basic prices (GVA) (constant LCU),GDP (current US$),GDP (current LCU),GDP: linked series (current LCU),GDP (constant 2015 US$),GDP growth (annual %),GDP (constant LCU),"GDP, PPP (current international $)","GDP, PPP (constant 2017 international $)",GDP per capita (current US$),GDP per capita (current LCU),GDP per capita (constant 2015 US$),GDP per capita growth (annual %),GDP per capita (constant LCU),"GDP per capita, PPP (current international $)","GNI, Atlas method (current US$)",GNI (current US$),GNI (current LCU),GNI: linked series (current LCU),"GNI, PPP (current international $)","GNI, PPP (constant 2017 international $)",GNI per capita (current LCU),"GNI per capita, PPP (current international $)",,Net primary income (Net income from abroad) (current LCU),Taxes less subsidies on products (current US$),Taxes less subsidies on products (current LCU),Taxes less subsidies on products (constant LCU),Net secondary income (Net current transfers from abroad) (current US$),Net secondary income (Net current transfers from abroad) (current LCU),DEC alternative conversion factor (LCU per US$),"PPP conversion factor, GDP (LCU per international $)",Price level ratio of PPP conversion factor (GDP) to market exchange rate,"PPP conversion factor, private consumption (LCU per international $)"
2021,60.41452481,56.32266962,412275695,58304488.17,18.90822485,275017037.8,156842545.6,2441611.755,470580183.2,20.41006949,22805340,10.24546473,42515926.35,20099498.78,-50346306.33,-5.848478973,47403561.73,-35992441.82,-19531728.4,-225921717.6,19062184.91,-28519437.55,-20394278.05,-35525991.55,5177863.897,78687683.15,15630000,690000,1.062466232,3859223.025,52.28005639,22312046.35,392743966.6,392743966.6,3.869782916,29511431.78,363232534.8,99966.2963,415056013,1.646496879,42.20366382,15536014.81,1.615703872,1.615703872,-2725691.193,54797193.11,24672679.46,4.305305775,30049999.24,,,293979512.2,293979512.2,2.667388427,57.60230964,28.43971008,26.7313176,12603703.7,34030000,8872832.939,0.356030263,22550000,1.310751381,22500000,32970000,31218518.52,32861800.45,-10.3343465,48680000,3.246642196,200559259.3,541510000,212006790.8,1.554134091,20.85762505,654574074.1,1767350000,648572880.4,13.03425009,1517790000,68.0739481,35401349.76,3.535633591,8145431.539,0.813507439,119466741.4,11.9314836,2.477065799,116.9737183,859396296.3,2320370000,864281720.8,1923950000,961563259.3,2596220800,2596220800,975331198.2,9,2219490700,1622810542,1374379722,20176.74758,54477.21846,20465.64404,8.883353967,46572.18667,34051.88203,940191430.7,908702481.5,2453496700,2453496700,1533598494,1336999211,51482.39923,28840,-11313185.19,-30545600,119822222.2,323520000,268250000,-2551407.407,-6888800,2.7,1.599829883,0.592529586,2.160911886
2020,54.4691084,48.24417124,430262882.6,51093212.49,17.5737912,349766465.6,155245844.8,2561087.93,481356095.1,23.93657283,-2078183.698,20.65205952,42747416.99,22009006.88,-96290525.3,-10.88616237,-50275187.74,-24201598.48,-76302082.88,-247601761.3,62344.96506,-2721004.108,30031019.32,10381188.42,4213156.067,45952992.59,24520000,480000,1.178529393,3848434.971,60.45272031,26891614.01,353960799.7,353960799.7,4.522590311,27415276.49,326545523.2,99966.2963,380852413.7,2.208440874,32.81624851,26441253.86,3.071548411,3.071548411,334615.9296,52908832.81,19388247.62,3.568435929,21739999.77,,,337532614.3,337532614.3,1.19568887,67.10213274,26.25045905,22.88232517,12248148.15,33070000,8841355.04,10.4719764,22470000,1.422806202,22290000,33310000,41214814.81,43811233.54,-19.68486462,64900000,4.787719208,194492592.6,525130000,218144097.4,-12.3109523,22.59323317,556859259.3,1503520000,573784388.2,-0.799355787,1342770000,64.68755916,39501693.44,3.535633591,10082654.72,0.902456822,135020743.2,12.08514961,-1.81275347,114.1462408,755348148.1,2039440000,790896725.4,1760590000,860844444.4,2324280000,2324280000,894799264.4,-0.880100861,2036230000,1391349168,1260898828,18082.68799,48823.25757,18795.93464,-0.80514568,42772.54968,29226.34054,905360804.2,849531259.3,2293734400,2293734400,1373064110,19730,48181.62417,27750,-13858185.19,-37417100,105496296.3,284840000,275640000,-687962.963,-1857500,2.7,1.670522435,0.618712013,2.273209998
2019,69.51428384,45.72831826,600979874.6,51479259.03,11.49754603,354965145,251213409,3167362.476,652459133.6,22.12207619,2876397.97,17.87450038,47856787.02,25297852.07,-64085013.65,-5.784658124,38761892.02,-16840490.57,-47457072.58,-315140386.3,32860003.82,-50205396.5,105062395.4,-373566.2002,212549.4904,69986901.85,18690000,1100000,0.7643516,3966195.4,23.69790862,34638768.46,553522802,553522802,2.608083509,34626079.31,518896722.7,202061.1111,588161570.5,3.99422968,69.69977819,5597402.078,0.632816445,0.632816445,226453.8519,54147066.44,30267358.72,3.812560071,15760000.23,,,373502419.4,373502419.4,-1.167245018,96.86205705,28.09612509,25.81240103,9859259.259,26620000,8003255.964,0.394866732,20340000,1.114642347,23340000,34140000,44888888.89,48860663.85,2.84149264,72380000,5.074930597,205185185.2,554000000,214805728.3,11.39756081,23.19729002,567344444.4,1531830000,578407925.4,-13.63169414,1353590000,64.14134435,36483074.24,3.535633591,10186778.07,0.987217099,125504607.6,12.16285403,-6.584498028,116.2536326,773744444.4,2089110000,791489699.1,1761910000,884522222.2,2388210000,2388210000,902744325,-14.53052971,2054310000,1343349279,1272094543,18566.01785,50128.24818,18948.49765,-14.40495012,43119.72629,28196.74404,925323954.3,870664037,2350792900,2350792900,1322302456,19020,49342.86764,31860,-22540444.44,-60859200,110777777.8,299100000,292400000,-15165925.93,-40948000,2.7,1.777802718,0.658445451,2.351881016
2018,72.81906011,47.02769601,582351622.4,80593592.36,10.59708167,332406311.4,227386477.4,1977240.664,662945214.7,24.50072194,12253829.48,19.7733159,43784878.22,24186570.03,-77390723.57,-7.186287178,-17858645.23,-47129748.49,971276.3003,-328460409.3,6761985.942,-11533449.77,8766555.379,-1689032.433,-31232251.38,52770092.4,8650000,2130000,0.713274562,3971642.313,25.51012611,33463843.87,583322898.7,583322898.7,5.551908202,26504735.68,556818163,310238.1481,616786742.6,3.276047024,65.66191866,62459225.98,5.637905781,5.637905781,-679778.4481,19779843.72,14130974.9,2.40866668,11479999.54,,,362798006.1,362798006.1,-0.329562064,103.0095905,34.31153251,24.72097523,9892592.593,26710000,7971778.064,-1.459143969,20260000,0.892958632,30170000,34220000,60674074.07,60836184.39,7.905430366,90120000,5.476768366,281066666.7,758880000,244963007.3,-7.109076057,25.37058953,695437037,1877680000,669699283.4,2.925762471,1567230000,62.77388857,35775549.45,3.535633591,8980102.277,0.887487453,125207666.9,12.37404987,-1.129980976,124.4479023,975222222.2,2633100000,913992687.9,2034610000,1107844444,2991180000,2991180000,1056218463,4.047063509,2403560000,1551484462,1488361328,23219.40905,62692.40443,22137.37556,4.153919355,50376.42522,32517.69914,1113793910,1085304000,2930320800,2930320800,1519917621,19420,61416.85111,29330,-47129740.74,-127250300,132622222.2,358080000,368950000,1537518.519,4151300,2.7,1.92794712,0.714054489,2.409012532
2017,64.77699981,46.21904119,542284982.9,77751627.05,9.756113068,334315393.7,209878671.5,1548652.211,620036610,24.25152984,28518317.44,16.94493143,41517898.48,27522306.79,-111770103.9,-10.55486003,-61464842.61,-48883917.6,-37050120.03,-303245217.7,6154050.328,-42107305.11,37057023.89,44100133,-25836066.26,44151210.96,2000000,3200000,0.936756337,4459651.202,17.12898931,28867709.44,505234862.9,505234862.9,5.350130368,29161093.7,476073769.2,106296.2963,534102572.4,3.613020531,73.90785979,40051767.21,3.719095622,3.719095622,183127.9037,23081841.64,13740385.59,2.340854986,3210000.038,,,363216830.6,363216830.6,-1.037122141,104.8779096,34.55097219,24.16574706,9811111.111,26490000,8089820.188,1.081612586,20560000,0.911032469,27780000,33310000,58270370.37,59155291.15,-2.133044107,87630000,5.4108244,265029629.6,715580000,219899794.5,5.315825221,24.60991371,681685185.2,1840550000,650662445.7,3.729035247,1522680000,63.29938886,33596568.58,3.535633591,8961782.205,0.943119477,116034029.2,12.21118194,-0.347191065,125.8702117,946248148.1,2554870000,872403664.5,1942030000,1076922222,2907690000,2907690000,1015135293,2.052022866,2310070000,1464858646,1430469326,22548.15063,60880.0067,21254.48153,2.103304216,48367.28712,30670.60251,1028091413,1029792481,2780439700,2780439700,1400751502,23340,58215.69272,27980,-48883925.93,-131986600,130674074.1,352820000,368040000,-28556259.26,-77101900,2.7,1.984962854,0.735171428,2.460778693
2016,69.44267291,48.71026949,555516470.4,84415521.86,10.74112388,310437049.4,221201076.7,2655552.234,639931992.2,23.6036752,5918811.039,17.33031831,39504526.15,24507970.45,-123687677.6,-12.26938574,-100246784.8,-58661220.97,-52313773,-309963205.3,-25145719.49,-124446943.7,39607178.07,41287345.78,-12712683.64,48586612.3,44740000,1050000,0.931324311,4459651.202,22.23067684,25754300.89,503202697.4,503202697.4,4.835055778,24352188.44,478850508.9,,528956998.3,3.69454915,69.23971823,48026116.14,4.53528194,4.53528194,-8043363.437,33908228.6,11923892.91,2.237244841,46819999.69,,,365098328.5,365098328.5,0.694916712,100.7544759,34.40602654,23.73106654,9481481.481,25600000,8003255.964,7.790143084,20340000,0.895371002,24840000,34280000,56985185.19,54821421.82,-10.64929471,81210000,5.381319623,278470370.4,751870000,236729042.2,3.273322422,26.29697637,655907407.4,1770950000,627271278.7,-1.259862646,1467940000,61.93973733,30133501.66,3.510563192,8369001.375,0.974991507,105844357.7,12.33090367,5.035702482,126.3087444,934666666.7,2523600000,862138929.2,1919180000,1058944444,2859150000,2859150000,994723342.1,0.007510659,2263620000,1401705998,1401705998,22160.60363,59833.6298,20816.64418,0.013789251,47370.9323,29333.59837,956881988.9,1010060519,2727163400,2727163400,1336999211,21530,57071.53709,26330,-58661222.22,-158385300,124277777.8,335550000,344440000,-25836074.07,-69757400,2.7,2.039764404,0.755468298,2.547303915
2015,74.44933042,49.44564708,526520400.9,90109723.02,9.89694042,290345466.4,216083351.4,2556748.679,616630123.9,23.3270942,-3031698.224,17.19989999,34805173.4,20640021.68,-79719207.79,-8.329793384,-77027652.27,-64788981.29,4158357.18,-276182605.9,-47221090.16,-133211670.1,63794370.09,-580481.9641,-19088583.68,49912645.69,5410000,490000,1.036744384,5146651.202,28.07849844,25320741.73,530678758.1,530678758.1,4.792983624,34254443.56,496424314.5,,555999499.8,3.32002232,63.80849562,121415245.5,12.04396841,12.04396841,2747131.689,22922718.46,14052962.96,2.539610614,3440000.057,,,320542568.3,320542568.3,-0.687037123,92.48170725,28.9257116,24.52109687,7951851.852,21470000,7424849.559,-8.752417795,18870000,0.788795938,26670000,36840000,57677777.78,56016273.64,0.053867701,82980000,5.721434161,247566666.7,668430000,224780123.7,5.54239463,24.5577489,633307407.4,1709930000,635274869.4,3.938951151,1486670000,62.82188348,29590727.5,3.485492793,7755176.729,0.913482529,102238302.3,12.04265309,1.352373298,120.2531534,878951851.9,2373170000,858190263,1910390000,1008100000,2721870000,2721870000,994648637.4,3.930004683,2263450000,1335810743,1401600729,21095.25404,56957.1859,20813.77412,3.934354311,47364.4011,27952.8489,923363364.5,949438777.8,2563484700,2563484700,1258080071,20020,53642.85385,24770,-64788962.96,-174930200,129148148.1,348700000,353060000,-12712666.67,-34324200,2.7,2.037616491,0.754672775,2.464320421
2014,77.77010041,52.92240651,503018405.4,93680837.2,8.294520331,251254418.9,212672939,3039400.909,596699242.6,21.58317317,-4935065.296,12.30341312,31117030.69,16007746.39,2955059.905,0.310024314,61173238.05,-67598399.11,82306461.1,-233629215,-21875385.45,-151252836.7,39874595.41,47887586.96,-11753002.09,80093563.6,4900000,310000,1.207192898,6381325.661,28.77382803,26082438.09,585324866.6,585324866.6,3.895570807,56716251.48,528608615.1,,611407304.6,2.484218216,64.84638295,128276604.8,13.40351521,13.40351521,0,27256988.84,11508380.09,2.283209715,5230000.019,,,288394872.3,288394872.3,-2.30187563,97.04632281,28.79257409,26.35362909,8137037.037,21970000,8137037.037,-1.990521327,20680000,0.850232198,25840000,36810000,62692592.59,62692592.59,1.966384708,92870000,6.550696594,217655555.6,587670000,217655555.6,10.68804458,22.74264706,611200000,1650240000,611200000,1.179924309,1430330000,63.86377709,28553626.68,3.460422394,7449494.07,0.902806372,90742307.22,10.99708683,-0.30616504,118.6485816,827418518.5,2234030000,827418518.5,1841890000,957037037,2584000000,2584000000,957037037,0.714014854,2177860000,1269832969,1348600659,20025.88485,54069.8891,20025.88485,0.711907425,45571.45846,26571.1021,877658482.1,892248074.1,2409069800,2409069800,1183868521,19320,50409.49571,24590,-67598407.41,-182515700,129618518.5,349970000,335970000,-19088592.59,-51539200,2.7,2.034913301,0.753671593,2.402896166
2013,41.40181046,39.54472701,377305677,19885388.89,10.59125309,227743385.2,126051258.1,2157114.444,397191065.9,37.56060677,5405757.433,12.4665792,20374632.59,6741897.037,-62703314.07,-7.166942452,101889214.6,-14621764.44,-83082462.22,-193202852.2,36110882.77,-110789970.4,-10227199.63,33734651.6,35000912.59,128481645.9,2490000,660000,2.661366431,6285392.963,49.63238288,5263624.444,294223214.8,294223214.8,0.523607555,58051566.67,236171648.1,,299486839.3,7.060198134,42.78381143,156658594.1,16.43552916,16.43552916,0,66961202.22,51206004.07,5.894428419,2609999.895,3.493070943,629.0953846,327252698.8,327252698.8,0.247865392,84.65906478,24.15228313,25.21426465,8933333.333,24120000,8302296.01,0.619933238,21100000,0.937223146,29010000,35070000,65381481.48,62658839.72,1.960125448,92820000,6.8593699,203548148.1,549580000,206225712.7,16.48425072,21.35485475,617788888.9,1668030000,604072402.9,4.598594155,1413650000,64.81410964,26680236.3,3.435351995,10943816.48,1.409127766,85789415.83,11.04626052,1.268982303,119.0129577,819522222.2,2212710000,810801776.5,1804900000,953170370.4,2573560000,2573560000,950252095.9,7.581478883,2162420000,1264657633,1339039717,19945.39267,53852.56021,19884.32685,7.531952998,45249.32516,26463.36256,879695188.4,885571963,2391044300,2391044300,1174968692,18360,50033.36123,23910,-14621777.78,-39478800,133648148.1,360850000,357520000,-11753000,-31733100,2.7,2.034985542,0.753698349,2.365326643
2012,38.04399829,40.31427858,347322103,29087679.26,10.46998862,246358510.4,119578717.8,2073488.148,376409782.2,36.7491536,0,12.31335268,19584756.67,6480530,-84747152.96,-10.2676344,134554841.6,-23777175.93,-90075811.48,-164926492.6,55303003.09,-92419222.22,15459158.52,-13660587.25,29105834.44,163998991.5,380000,500000,3.200318679,6222360.37,42.47840686,5310503.333,257246291.5,257246291.5,0.644078218,62816892.59,194429398.9,,262556794.8,8.015193907,48.86232102,110789970.4,12.66321172,12.66321172,0,59827100,50692489.26,6.184955958,-79999.99821,2.712061284,455.50736,301952572.3,301952572.3,1.10698554,92.32122914,25.65779164,26.08176893,9477777.778,25590000,8251144.423,-3.185595568,20970000,1.083302995,29570000,33700000,62466666.67,61450486.74,-8.430769231,91030000,7.139893829,172392592.6,465460000,186312544.9,-8.654963962,19.70434591,586877777.8,1584570000,577514839.2,2.678842764,1351500000,67.07969622,26876892.81,3.410281596,7744726.56,0.982691662,90617707.05,11.49805154,0.27357798,117.521629,757792592.6,2046040000,765866045,1704870000,874896296.3,2362220000,2362220000,883285957.6,5.709822978,2010030000,1161568320,1244674949,18315.91468,49452.96962,18491.55186,5.621301762,42079.88779,24317.38062,869952700.4,860274518.5,2322741200,2322741200,1142155512,18410,48626.48272,22490,-23777185.19,-64198400,117103703.7,316180000,305160000,35000925.93,94502500,2.7,2.03364706,0.753202615,2.312572718
